,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
48,2542,興富發,市,11/02,,44.7,0,0,2464,110,44.7,44.75,44.95,44.7,0.56,8.92,1.63,,,,
49,2606,裕民,市,11/02,,52.7,+0.6,+1.15,11369,599,52.1,52.4,53.3,52,2.5,17.5,1.95,,,,
50,2610,華航,市,11/02,,18.95,+0.85,+4.7,322520,6126,18.1,18.4,19.4,18.35,5.8,948,1.8,,,,
51,2618,長榮航,市,11/02,,20.5,+0.85,+4.33,207283,4257,19.65,19.85,21.1,19.7,7.12,,1.41,,,,
52,2633,台灣高鐵,市,11/02,,28.95,-0.05,-0.17,4806,139,29,29,29.2,28.9,1.03,26.6,2.47,,,,
53,2637,慧洋-KY,市,11/02,,66.7,-0.3,-0.45,7634,511,67,67,67.8,66.1,2.54,8.97,1.57,,,,
54,2809,京城銀,市,11/02,,41.15,-0.2,-0.48,2559,105,41.35,41.3,41.4,41,0.97,5.97,0.94,,,,
55,2812,台中銀,市,11/02,,12,+0.05,+0.42,4412,52.8,11.95,11.95,12,11.95,0.42,11.1,0.83,,,,
57,2823,中壽,市,11/02,,29.05,+0.25,+0.87,6033,175,28.8,28.9,29.1,28.85,0.87,5.72,0.81,,,,
58,2834,臺企銀,市,11/02,,9.49,+0.02,+0.21,15345,146,9.47,9.5,9.52,9.47,0.53,14.6,0.7,,,,
59,2845,遠東銀,市,11/02,,10.5,+0.05,+0.48,2378,25,10.45,10.5,10.55,10.45,0.96,15.4,0.74,,,,
60,2883,開發金,市,11/02,,14.15,+0.05,+0.35,31125,440,14.1,14.15,14.2,14.1,0.71,7.91,0.94,,,,
61,2888,新光金,市,11/02,,9.74,-0.03,-0.31,34422,336,9.77,9.8,9.82,9.71,1.13,6.28,0.52,,,,
62,2889,國票金,市,11/02,,15.85,0,0,2438,38.6,15.85,15.9,15.9,15.75,0.95,11.3,1.15,,,,
63,2890,永豐金,市,11/02,,14.15,0,0,13265,188,14.15,14.15,14.2,14.1,0.71,10.6,0.97,,,,
64,2915,潤泰全,市,11/02,,104,-6,-5.45,8601,908,110,110.5,111,103,7.27,3.94,0.56,,,,
65,3023,信邦,市,11/02,,233,+1.5,+0.65,485,113,231.5,234,235,231,1.73,23.2,5.61,,,,
66,3037,欣興,市,11/02,,196,+7,+3.7,91362,17821,189,192.5,200.5,189,6.08,28,5.23,,,,
67,3044,健鼎,市,11/02,,115.5,-1.5,-1.28,558,64.9,117,117.5,118.5,115,2.99,9.24,1.74,,,,
68,3189,景碩,市,11/02,,233,-6.5,-2.71,30455,7294,239.5,243,247,231,6.68,39.4,3.8,,,,
69,3231,緯創,市,11/02,,29.2,+0.1,+0.34,5509,161,29.1,29.2,29.3,29.05,0.86,8.69,1.22,,,,
70,3406,玉晶光,市,11/02,,434,-10.5,-2.36,5759,2601,444.5,450,470.5,431,8.89,19.8,3.24,,,,
71,3443,創意,市,11/02,,594,-15,-2.46,3261,1982,609,619,622,592,4.93,51.3,16.8,,,,
72,3481,群創,市,11/02,,16.55,0,0,72414,1203,16.55,16.65,16.85,16.45,2.42,3.8,0.62,,,,
73,3532,台勝科,市,11/02,,167.5,+1,+0.6,2843,479,166.5,169,175,163,7.21,55.5,3.23,,,,
74,3533,嘉澤,市,11/02,,582,-17,-2.84,848,504,599,601,618,580,6.34,20.3,4.45,,,,
76,3576,聯合再生,市,11/02,,25.3,-0.95,-3.62,41503,1061,26.25,26,26.15,25.05,4.19,,2.82,,,,
77,3653,健策,市,11/02,,406.5,+18.5,+4.77,6982,2842,388,389.5,418,389.5,7.35,70.7,7.95,,,,
78,3661,世芯-KY,市,11/02,,1170,+40,+3.54,3578,4140,1130,1150,1195,1110,7.52,65,8.69,,,,
79,3702,大聯大,市,11/02,,52,-0.6,-1.14,2725,143,52.6,53,53,51.8,2.28,9.45,1.48,,,,
80,3706,神達,市,11/02,,28.75,-0.05,-0.17,2463,71.1,28.8,28.85,29,28.7,1.04,6.32,0.75,,,,
81,3714,富采,市,11/02,,74.8,-2,-2.6,9778,742,76.8,77,77.6,74.5,4.04,,1.02,,,,
82,4958,臻鼎-KY,市,11/02,,98.1,-0.1,-0.1,3872,382,98.2,98.9,99.8,97.5,2.34,12.1,1.24,,,,
83,5269,祥碩,市,11/02,,1640,-30,-1.8,768,1285,1670,1690,1725,1635,5.39,36.7,8.47,,,,
84,5522,遠雄,市,11/02,,68.8,+2.6,+3.93,1207,82,66.2,66.1,68.8,66.1,4.08,11.6,1.32,,,,
85,6116,彩晶,市,11/02,,14.1,+0.05,+0.36,37601,537,14.05,14.15,14.5,14.05,3.2,4.18,0.83,,,,
86,6176,瑞儀,市,11/02,,96.1,-1.8,-1.84,2301,223,97.9,98.3,98.4,96.1,2.35,8.15,1.51,,,,
87,6213,聯茂,市,11/02,,128,-1,-0.78,3765,486,129,130,131,127.5,2.71,13.9,2.41,,,,
88,6239,力成,市,11/02,,96.2,-1.1,-1.13,4201,407,97.3,97.5,98.1,96.2,1.95,10.3,1.62,,,,
89,6269,台郡,市,11/02,,94.1,-2.2,-2.28,5072,481,96.3,96.5,96.6,94,2.7,12.5,1.42,,,,
90,6409,旭隼,市,11/02,,1675,+50,+3.08,314,523,1625,1675,1685,1640,2.77,71.2,33.4,,,,
91,6456,GIS-KY,市,11/02,,98,+0.2,+0.2,2069,205,97.8,98.3,100.5,97.6,2.97,9.95,1.14,,,,
92,6531,愛普*,市,11/02,,575,-16,-2.71,13064,7675,591,603,625,556,11.7,41.4,20.1,,,,
93,6592,和潤企業,市,11/02,,89,+0.1,+0.11,430,38.3,88.9,89.5,89.5,88.8,0.79,16,2,,,,
95,6669,緯穎,市,11/02,,886,-42,-4.53,759,678,928,910,930,875,5.93,17.2,6.8,,,,
96,6781,AES-KY,市,11/02,,1230,+10,+0.82,944,1197,1220,1240,1330,1190,11.5,,11.6,,,,
97,8454,富邦媒,市,11/02,,1780,+10,+0.56,709,1268,1770,1790,1825,1745,4.52,109,41.2,,,,
98,8464,億豐,市,11/02,,376.5,-14,-3.59,1380,516,390.5,382.5,382.5,367.5,3.84,20.9,7.5,,,,
99,9904,寶成,市,11/02,,33.85,-0.55,-1.6,8350,283,34.4,34.55,34.55,33.5,3.05,7.05,0.76,,,,
100,9914,美利達,市,11/02,,287.5,-3.5,-1.2,378,109,291,291,293,287,2.06,19.2,5.53,,,,
101,9917,中保科,市,11/02,,102.5,+0.5,+0.49,323,33,102,102,104,101,2.94,17.9,4.43,,,,
102,9921,巨大,市,11/02,,321.5,+2,+0.63,698,225,319.5,323.5,328,318.5,2.97,19,4.74,,,,
103,9941,裕融,市,11/02,,170,0,0,638,109,170,170.5,173.5,170,2.06,14.9,3.72,,,,
104,9945,潤泰新,市,11/02,,68.2,-2.7,-3.81,18642,1282,70.9,71.1,71.5,67.5,5.64,6.82,0.95,,,,
