,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
52,2360,致茂,市,10/29,,181,-3.5,-1.9,943,173,184.5,186.5,187.5,180.5,3.79,19,4.44,,,,
53,2455,全新,市,10/29,,140.5,-3.5,-2.43,14579,2094,144,143.5,146,140.5,3.82,36.6,7.75,,,,
54,3008,大立光,市,10/29,,2070,0,0,499,1031,2070,2080,2080,2055,1.21,13.5,1.96,,,,
55,3019,亞光,市,10/29,,88.5,+0.9,+1.03,9340,818,87.6,88.4,88.7,86,3.08,24.2,2.13,,,,
56,3105,穩懋,櫃,10/29,,357.5,+32.5,+10,22692,8058,325,350,357.5,342,4.77,28,4.63,,,,
57,3227,原相,櫃,10/29,,157.5,-0.5,-0.32,1573,251,158,158.5,161,157.5,2.22,11.8,2.47,,,,
58,3234,光環,櫃,10/29,,27.1,-0.6,-2.17,384,10.5,27.7,28,28.05,27.05,3.61,,2.45,,,,
59,3374,精材,櫃,10/29,,135,0,0,1536,209,135,136.5,137,135,1.48,16.2,6.26,,,,
60,3406,玉晶光,市,10/29,,427.5,+0.5,+0.12,2731,1182,427,428,440,427.5,2.93,19.5,3.19,,,,
61,3450,聯鈞,市,10/29,,55.8,-0.7,-1.24,370,20.8,56.5,57.2,57.2,55.8,2.48,27.8,2,,,,
62,4919,新唐,市,10/29,,128,-1,-0.78,12271,1582,129,130.5,131.5,126.5,3.88,36.1,3.73,,,,
63,6147,頎邦,櫃,10/29,,64.3,-0.9,-1.38,12262,792,65.2,65.4,65.4,64.3,1.69,7.91,1.24,,,,
64,6271,同欣電,市,10/29,,264,+11.5,+4.55,8547,2232,252.5,255.5,266,253.5,4.95,23.7,2.12,,,,
65,6451,訊芯-KY,市,10/29,,90.2,-4.5,-4.75,915,83.6,94.7,94.5,94.5,90.2,4.54,11,1.6,,,,
66,8086,宏捷科,櫃,10/29,,159.5,+1,+0.63,12696,2072,158.5,161,167,158.5,5.36,46.8,4.2,,,,
