,Unnamed: 0,代號,名稱,市  場,股價  日期,K  線,成交,漲跌  價,漲跌  幅,成交  張數,成交額  (百萬),昨收,開盤,最高,最低,振幅  (%),PER,PBR,一個月  走勢圖,三個月  走勢圖,一年  走勢圖,三年  走勢圖
198,198,9921,巨大,市,10/12,,297.5,-3.5,-1.16,993,295,301,296,300.5,288.5,3.99,17.6,4.39,,,,
199,199,9941,裕融,市,10/12,,161.5,-1,-0.62,468,75.1,162.5,161.5,161.5,159,1.54,14.1,3.53,,,,
200,200,1210,大成,市,10/12,,53.3,+0.2,+0.38,1263,66.9,53.1,53.1,53.3,52.6,1.32,13.8,2.22,,,,
201,201,1227,佳格,市,10/12,,51,-0.4,-0.78,1144,58.5,51.4,51.3,51.6,51,1.17,15.4,2.75,,,,
202,202,1434,福懋,市,10/12,,29.8,-0.2,-0.67,2770,82.5,30,29.75,30,29.6,1.33,31.7,0.77,,,,
203,203,1440,南紡,市,10/12,,21.3,-1.8,-7.79,24309,527,23.1,22.3,22.45,21.15,5.63,11.2,1.32,,,,
204,204,1605,華新,市,10/12,,23.25,-0.55,-2.31,7611,178,23.8,23.7,23.7,23.25,1.89,8.68,0.78,,,,
205,205,1717,長興,市,10/12,,35.65,-0.65,-1.79,2955,106,36.3,36.25,36.25,35.65,1.65,12.3,1.82,,,,
206,206,1722,台肥,市,10/12,,69.6,-0.3,-0.43,6152,430,69.9,69.9,70.7,69.4,1.86,28.6,1.29,,,,
207,207,1802,台玻,市,10/12,,27.1,-0.4,-1.45,11642,314,27.5,27.35,27.35,26.4,3.45,9.38,1.64,,,,
208,208,1904,正隆,市,10/12,,33.3,-0.25,-0.75,2202,73.4,33.55,33.55,33.7,33.1,1.79,8.35,1.33,,,,
209,209,1907,永豐餘,市,10/12,,30.8,-0.15,-0.48,3530,109,30.95,30.85,31.4,30.75,2.1,7.8,1.09,,,,
210,210,2014,中鴻,市,10/12,,36.1,-0.9,-2.43,17848,656,37,36.75,37.8,36.1,4.59,10.4,2.47,,,,
211,211,2027,大成鋼,市,10/12,,44.6,+0.05,+0.11,22882,1022,44.55,44.55,45.05,44.45,1.35,17.6,2.21,,,,
212,212,2049,上銀,市,10/12,,296.5,-2,-0.67,1102,326,298.5,292.5,300,291.5,2.85,31.8,3.44,,,,
213,213,2059,川湖,市,10/12,,378.5,+1.5,+0.4,162,61.2,377,376,381.5,375,1.72,26.6,3.02,,,,
214,214,2105,正新,市,10/12,,33.95,-0.45,-1.31,4983,169,34.4,34,34.15,33.65,1.45,12.1,1.33,,,,
215,215,2108,南帝,市,10/12,,86.5,+0.2,+0.23,2676,233,86.3,85.9,88.2,85.5,3.13,5.33,3.03,,,,
